gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	EPI	Mes	TE	emVE	exVE
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.238	0.476	0.804	0.069	0.204
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.137	0.056	0.013	0.008	0.001
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.75	0.256	0.264	0.198	0.205
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.326	0.24	0.227	0.389	0.29
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.238	0.476	0.804	0.069	0.204
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.238	0.476	0.804	0.069	0.204
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.75	0.256	0.264	0.198	0.205
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS07BECB892	0.326	0.24	0.227	0.389	0.29
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.75	0.256	0.264	0.198	0.205
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS09F973C1A	0.326	0.24	0.227	0.389	0.29
NGF	P01138	False	NGF_HUMAN		CPI-SS052127A00	0.0	0.011	0.0	0.0	0.0
NGF	P01138	False	NGF_HUMAN		CPI-SS0EDD4928A	0.0	0.011	0.0	0.0	0.0
TTR	P02766	False	TTHY_HUMAN		CPI-SS08B85996F	8.745	17.447	7.129	99.033	99.933
TTR	P02766	False	TTHY_HUMAN		CPI-SS00D3CD86E	8.745	17.447	7.129	99.033	99.933
TBXA2R	P21731	False	TA2R_HUMAN		CPI-SS042EB8C7A	0.03	0.044	0.0	0.015	0.03
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.054	0.062	0.03	0.202	0.346
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.054	0.062	0.03	0.202	0.346
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.039	0.251	0.145	0.51	0.806
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.039	0.251	0.145	0.51	0.806
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C694CB44	0.039	0.251	0.145	0.51	0.806
FZD6	O60353	False	FZD6_HUMAN		CPI-SS082AD7B6A	0.049	0.031	0.03	0.108	0.075
FZD7	O75084	False	FZD7_HUMAN		CPI-SS070C51D94	0.886	1.092	0.31	0.337	0.158
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0F102AAC5	0.0	0.067	0.0	0.045	0.011
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0DCA749B0	0.0	0.067	0.0	0.045	0.011
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0A874F65F	0.453	0.23	0.199	0.365	0.239
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.647	0.713	0.609	0.705	0.643
PROK1	P58294	False	PROK1_HUMAN		CPI-SS04FB6F38D	0.0	0.0	0.0	0.0	0.001
KNG1	P01042	False	KNG1_HUMAN		CPI-SS075D9B9AD	0.338	0.395	0.394	0.11	0.167
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0431D2256	0.057	0.057	0.05	0.002	0.003
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.03	0.057	0.128	0.132	0.308
CD55	P08174	False	DAF_HUMAN		CPI-SS061A7E099	0.012	0.062	0.162	0.655	0.245
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS0D954EA1C	0.014	0.14	0.038	0.011	0.0
CSF3	P09919	False	CSF3_HUMAN		CPI-SS08376F0E6	0.0	0.0	0.0	0.003	0.007
APELA	P0DMC3	False	ELA_HUMAN		CPI-SS08719F19E	0.582	0.085	0.043	0.133	0.03
SELP	P16109	False	LYAM3_HUMAN		CPI-SS015E1E2C6	0.0	0.0	0.013	0.007	0.0
SELP	P16109	False	LYAM3_HUMAN		CPI-SS02B7540B0	0.0	0.0	0.013	0.007	0.0
NPR1	P16066	False	ANPRA_HUMAN		CPI-SS08E6EA18C	0.073	0.16	0.226	0.293	0.259
SPN	P16150	False	LEUK_HUMAN		CPI-SS02A170A99	0.011	0.02	0.02	0.002	0.0
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS03CC15FF3	0.069	0.905	0.042	0.151	0.825
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS03A3EE72E	0.028	0.016	0.011	0.0	0.0
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS0F972435E	0.028	0.016	0.011	0.0	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0273C9AED	0.05	2.586	0.163	0.02	0.023
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	0.0	0.031	0.02	0.01	0.027
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS087BD262F	0.0	0.022	0.0	0.01	0.004
ACVR2A	P27037	False	AVR2A_HUMAN		CPI-SS0D53B88CC	0.107	0.302	0.152	0.151	0.147
ACVR2A	P27037	False	AVR2A_HUMAN		CPI-SS099C401F7	0.107	0.302	0.152	0.151	0.147
CD6	P30203	False	CD6_HUMAN		CPI-SS08991B378	0.03	0.018	0.0	0.036	0.011
TYRO3	Q06418	False	TYRO3_HUMAN		CPI-SS085195142	0.331	0.18	0.116	0.164	0.171
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS0415CC75D	0.031	0.028	0.026	0.127	0.109
CALCR	P30988	False	CALCR_HUMAN		CPI-SS0B27088B4	0.014	0.0	0.0	0.02	0.001
CALCR	P30988	False	CALCR_HUMAN		CPI-SS032CFAE42	0.014	0.0	0.0	0.02	0.001
BMP8B	P34820	False	BMP8B_HUMAN		CPI-SS0E5593D5C	0.0	0.024	0.73	0.008	0.006
RYK	P34925	False	RYK_HUMAN		CPI-SS0A91954A0	1.17	1.236	1.172	1.245	1.398
APLNR	P35414	False	APJ_HUMAN		CPI-SS0D8148841	0.021	0.682	0.037	0.04	0.015
LTBR	P36941	False	TNR3_HUMAN		CPI-SS06CBC985C	0.073	0.303	0.286	0.437	0.81
INHBC	P55103	False	INHBC_HUMAN		CPI-SS04BE14432	0.0	0.02	0.0	0.074	0.055
INHBE	P58166	False	INHBE_HUMAN		CPI-SS09CCC0451	0.0	0.0	0.0	0.006	0.0
DSC2	Q02487	False	DSC2_HUMAN		CPI-SS06D13FCD3	0.163	0.103	0.262	0.563	0.427
GPR19	Q15760	False	GPR19_HUMAN		CPI-SS07DFEBFA8	0.141	0.145	0.043	0.068	0.054
EDA	Q92838	False	EDA_HUMAN		CPI-SS00797FD15	0.009	0.053	0.015	0.361	0.134
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	0.016	0.005	0.011	0.001	0.026
WNT11	O96014	False	WNT11_HUMAN		CPI-SS0A7B487D4	0.007	0.031	0.022	0.051	0.031
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS0FEC87269	0.057	0.057	0.05	0.002	0.003
TNFSF9	P41273	False	TNFL9_HUMAN		CPI-SS00A8596B5	0.057	0.057	0.05	0.002	0.003
WNT5B	Q9H1J7	False	WNT5B_HUMAN		CPI-SS044DF8749	0.056	0.089	0.003	0.022	0.008
GAL	P22466	False	GALA_HUMAN		CPI-SS0F8ABC300	0.0	0.119	0.012	0.005	0.003
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0F1A060D4	0.387	0.657	0.156	0.324	0.45
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0B990492C	0.387	0.657	0.156	0.324	0.45
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS0C5E9FBFB	0.387	0.657	0.156	0.324	0.45
NECTIN3	Q9NQS3	False	PVRL3_HUMAN		CPI-SS02FBD007E	0.387	0.657	0.156	0.324	0.45
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0C9696AAA	1.693	0.817	0.977	0.202	0.086
NECTIN4	Q96NY8	False	PVRL4_HUMAN		CPI-SS01E0F2D2C	0.0	0.033	0.019	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS03DA2A820	0.024	0.049	0.0	0.002	0.002
CD44	P16070	False	CD44_HUMAN		CPI-SS02AB0C3E0	0.024	0.049	0.0	0.002	0.002
CD44	P16070	False	CD44_HUMAN		CPI-SS0703338F5	0.024	0.049	0.0	0.002	0.002
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS008FB916C	0.012	0.11	0.128	0.385	0.369
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0D9366D11	0.012	0.11	0.128	0.385	0.369
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0D4CA5D92	0.012	0.11	0.128	0.385	0.369
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS02896561C	0.012	0.11	0.128	0.385	0.369
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS05ECF1933	0.012	0.11	0.128	0.385	0.369
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS066347638	0.012	0.11	0.128	0.385	0.369
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0755A26DD	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0F2C6A4D4	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0FFB9E01B	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS03189F5F6	1.24	1.174	1.093	0.208	0.265
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS05A94DE17	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS04A97448D	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06B86672A	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0F6A7A4DF	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0D67110B0	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06D341996	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02FEAF02E	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0AECC113F	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0735F5C3A	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0348DB5E3	0.062	0.105	1.62	0.127	0.146
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D636A374	0.0	0.053	0.086	0.192	0.323
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS015819E65	0.0	0.053	0.086	0.192	0.323
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0E134097C	0.0	0.053	0.086	0.192	0.323
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS013E86AFF	0.0	0.053	0.086	0.192	0.323
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0C2A73A10	0.0	0.053	0.086	0.192	0.323
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS076D8A297	0.0	0.053	0.086	0.192	0.323
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0BF3ED143	0.0	0.053	0.086	0.192	0.323
FGFRL1	Q8N441	False	FGRL1_HUMAN		CPI-SS0CB6968B9	0.016	0.168	0.033	0.168	0.162
PTGER4	P35408	False	PE2R4_HUMAN		CPI-SS0C1BD22BC	0.0	0.032	0.027	0.015	0.019
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS068C742A1	0.321	0.299	0.016	0.769	0.284
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS085EE60B1	0.321	0.299	0.016	0.769	0.284
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS0FB37E079	0.321	0.299	0.016	0.769	0.284
TGFBR3	Q03167	False	TGBR3_HUMAN		CPI-SS0178F5C45	0.321	0.299	0.016	0.769	0.284
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS087B53ABF	0.479	0.434	0.114	0.048	0.026
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS055E061C9	1.183	0.755	1.435	1.279	1.422
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS033CB0BB2	1.183	0.755	1.435	1.279	1.422
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS0E2431C09	1.183	0.755	1.435	1.279	1.422
CD274	Q9NZQ7	False	PD1L1_HUMAN		CPI-SS016EE0084	0.031	0.01	0.0	0.001	0.005
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0B02DE712	0.053	0.065	0.051	0.139	0.296
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS09375CA29	0.053	0.065	0.051	0.139	0.296
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS00A953C3A	0.053	0.065	0.051	0.139	0.296
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BF9FA3F2	0.053	0.065	0.051	0.139	0.296
EGF	P01133	False	EGF_HUMAN		CPI-SS0F4D30D5A	0.021	0.026	0.01	0.017	0.032
TGFA	P01135	False	TGFA_HUMAN		CPI-SS0E25CE362	0.049	0.027	0.0	0.098	0.165
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0055264F3	0.078	0.741	0.059	0.11	0.07
MIF	P14174	False	MIF_HUMAN		CPI-SS00EDDD458	80.994	84.495	55.62	87.886	66.014
AREG	P15514	False	AREG_HUMAN		CPI-SS0481D83A4	0.0	0.0	0.011	0.0	0.0
AREG	P15514	False	AREG_HUMAN		CPI-SS0D4C221B8	0.0	0.0	0.011	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS08CA619FE	0.577	0.45	0.483	0.84	1.118
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	0.577	0.45	0.483	0.84	1.118
GRN	P28799	False	GRN_HUMAN		CPI-SS054D158CC	0.577	0.45	0.483	0.84	1.118
COPA	P53621	False	COPA_HUMAN		CPI-SS088A0A760	1.143	1.179	1.29	1.762	2.135
COPA	P53621	False	COPA_HUMAN		CPI-SS0E6E8A727	1.143	1.179	1.29	1.762	2.135
EPGN	Q6UW88	False	EPGN_HUMAN		CPI-SS07F042076	0.025	0.0	0.0	0.0	0.0
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0C10824C7	0.117	0.197	0.762	0.085	0.129
HBEGF	Q99075	False	HBEGF_HUMAN		CPI-SS0632A027A	0.117	0.197	0.762	0.085	0.129
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	0.0	0.009	0.015	0.0	0.002
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	0.0	0.009	0.015	0.0	0.002
SPN	P16150	False	LEUK_HUMAN		CPI-SS09C4FCB90	0.011	0.02	0.02	0.002	0.0
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS0391D4602	1.564	0.958	1.385	0.784	1.112
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS00A6D366F	1.564	0.958	1.385	0.784	1.112
AIMP1	Q12904	False	AIMP1_HUMAN		CPI-SS05D1A6BEF	4.261	5.073	4.667	4.492	4.504
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0DE0A486F	0.039	0.251	0.145	0.51	0.806
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0E00478B4	0.039	0.251	0.145	0.51	0.806
PGF	P49763	False	PLGF_HUMAN		CPI-SS0855C0353	0.0	0.012	0.025	0.002	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS0D22A09AD	0.0	0.012	0.025	0.002	0.0
PGF	P49763	False	PLGF_HUMAN		CPI-SS0E61DB5DF	0.0	0.012	0.025	0.002	0.0
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS033E6DE7E	0.587	0.542	0.284	0.433	0.556
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS0947A8549	0.587	0.542	0.284	0.433	0.556
VEGFB	P49765	False	VEGFB_HUMAN		CPI-SS098425155	0.587	0.542	0.284	0.433	0.556
SEMA3F	Q13275	False	SEM3F_HUMAN		CPI-SS0F15C1AB3	0.196	0.082	0.055	0.079	0.013
SEMA3C	Q99985	False	SEM3C_HUMAN		CPI-SS0241A1F57	0.008	0.014	0.0	0.003	0.002
IDE	P14735	False	IDE_HUMAN		CPI-SS0A3569604	0.941	0.56	0.779	0.838	1.011
IGF1R	P08069	False	IGF1R_HUMAN		CPI-SS0579FA162	1.04	1.037	0.48	0.126	0.096
IGF2R	P11717	False	MPRI_HUMAN		CPI-SS042A6F835	0.277	0.532	0.671	0.745	1.27
SORT1	Q99523	False	SORT_HUMAN		CPI-SS07CCAD9BF	0.227	0.144	0.028	0.039	0.031
SORT1	Q99523	False	SORT_HUMAN		CPI-SS04F3A1E5C	0.227	0.144	0.028	0.039	0.031
PROKR2	Q8NFJ6	False	PKR2_HUMAN		CPI-SS04465565A	0.0	0.022	0.0	0.0	0.0
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0BD9F32BA	0.697	0.672	1.954	1.049	0.984
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS04A5D6B6F	0.149	0.406	0.12	0.014	0.009
SEMA4C	Q9C0C4	False	SEM4C_HUMAN		CPI-SS0AB21032D	0.228	0.217	0.11	0.088	0.063
FLT4	P35916	False	VGFR3_HUMAN		CPI-SS0D883FFF1	0.028	0.016	0.011	0.0	0.0
PTPRS	Q13332	False	PTPRS_HUMAN		CPI-SS00F4DDF4B	0.334	0.363	0.923	0.191	0.073
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0DBA4D668	0.883	0.121	0.005	0.003	0.007
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS07155793F	0.883	0.121	0.005	0.003	0.007
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS027CDEA08	0.0	0.009	0.0	0.0	0.0
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS012B7C21D	0.0	0.009	0.0	0.0	0.0
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS00D153A8A	0.0	0.009	0.0	0.0	0.0
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS003C9A532	0.016	0.627	0.257	0.01	0.009
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS0607D1101	0.016	0.627	0.257	0.01	0.009
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS09D379E5B	0.016	0.627	0.257	0.01	0.009
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0B42AD9EF	0.019	0.053	0.012	0.049	0.028
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0FA326344	0.019	0.053	0.012	0.049	0.028
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B87FE6E0	0.12	0.276	0.091	0.043	0.009
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0A34EE366	0.08	0.293	0.084	0.711	0.877
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0652F5D15	0.179	0.294	0.243	2.046	2.095
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0D377BBBF	0.179	0.294	0.243	2.046	2.095
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	0.0	0.022	0.0	0.01	0.004
CALCR	P30988	False	CALCR_HUMAN		CPI-SS015B2F961	0.014	0.0	0.0	0.02	0.001
CALCR	P30988	False	CALCR_HUMAN		CPI-SS0F531DDEB	0.014	0.0	0.0	0.02	0.001
NPR3	P17342	False	ANPRC_HUMAN		CPI-SS023D39112	0.0	0.0	0.007	0.0	0.009
NPR2	P20594	False	ANPRB_HUMAN		CPI-SS0779676D0	0.027	0.0	0.0	0.004	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS0133239EA	0.013	0.13	0.0	0.0	0.004
MET	P08581	False	MET_HUMAN		CPI-SS0BC7CD11B	0.049	0.068	0.066	0.095	0.039
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS0419B80C4	0.258	0.471	0.036	0.538	0.217
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS02928C71A	0.258	0.471	0.036	0.538	0.217
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS006C6537E	0.258	0.471	0.036	0.538	0.217
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS0984C2931	0.258	0.471	0.036	0.538	0.217
CD47	Q08722	False	CD47_HUMAN		CPI-SS014958F32	0.252	0.119	0.141	0.499	0.298
CD47	Q08722	False	CD47_HUMAN		CPI-SS0339AE950	0.252	0.119	0.141	0.499	0.298
PTPRK	Q15262	False	PTPRK_HUMAN		CPI-SS0A9FB762A	0.227	0.45	0.347	0.881	0.527
PTPRK	Q15262	False	PTPRK_HUMAN		CPI-SS0472C478C	0.227	0.45	0.347	0.881	0.527
PTPRK	Q15262	False	PTPRK_HUMAN		CPI-SS0CB863B46	0.227	0.45	0.347	0.881	0.527
SLC1A5	Q15758	False	AAAT_HUMAN		CPI-SS002DF6C31	0.374	0.487	0.438	0.177	0.132
COLEC12	Q5KU26	False	COL12_HUMAN		CPI-SS08877A081	0.112	0.263	0.05	0.301	0.336
SORL1	Q92673	False	SORL_HUMAN		CPI-SS09C52F54E	0.131	0.052	0.187	0.171	0.199
SORL1	Q92673	False	SORL_HUMAN		CPI-SS083CBFACD	0.131	0.052	0.187	0.171	0.199
SORL1	Q92673	False	SORL_HUMAN		CPI-SS0D3C90DDA	0.131	0.052	0.187	0.171	0.199
MRC2	Q9UBG0	False	MRC2_HUMAN		CPI-SS048346C2B	0.134	0.081	0.024	0.061	0.012
MRC2	Q9UBG0	False	MRC2_HUMAN		CPI-SS0014DB67C	0.134	0.081	0.024	0.061	0.012
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS05A26A1DE	0.014	0.14	0.038	0.011	0.0
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0FEEB187C	0.069	0.905	0.042	0.151	0.825
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	0.069	0.905	0.042	0.151	0.825
ADGRV1	Q8WXG9	False	GPR98_HUMAN		CPI-SS0CB4F2FE4	0.077	0.003	0.024	0.005	0.005
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	0.0	0.011	0.0	0.068	0.029
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	0.0	0.011	0.0	0.068	0.029
FZD8	Q9H461	False	FZD8_HUMAN		CPI-SS048604E28	0.082	0.047	0.017	0.245	0.024
FZD8	Q9H461	False	FZD8_HUMAN		CPI-SS0D782F60B	0.082	0.047	0.017	0.245	0.024
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS080C0EEB8	0.095	0.17	0.177	0.02	0.034
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS0B2D5BA95	0.095	0.17	0.177	0.02	0.034
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS0CA020C34	0.095	0.17	0.177	0.02	0.034
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS0E4DE8215	0.095	0.17	0.177	0.02	0.034
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS0E7523314	0.095	0.17	0.177	0.02	0.034
FZD1	Q9UP38	False	FZD1_HUMAN		CPI-SS0D81C6C1D	0.095	0.17	0.177	0.02	0.034
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS0261EA048	0.918	0.653	0.038	0.137	0.026
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS01C2BA5C8	0.918	0.653	0.038	0.137	0.026
FZD2	Q14332	False	FZD2_HUMAN		CPI-SS02C418D99	0.918	0.653	0.038	0.137	0.026
SLAMF1	Q13291	False	SLAF1_HUMAN		CPI-SS0097929A7	0.435	0.136	0.114	0.017	0.052
FZD5	Q13467	False	FZD5_HUMAN		CPI-SS0E32BEF02	0.174	0.19	0.049	1.161	0.166
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS0D4F593F1	0.0	0.036	0.0	0.012	0.004
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS01DCC7684	0.0	0.036	0.0	0.012	0.004
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS03E450F99	0.0	0.036	0.0	0.012	0.004
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS0D5DBB634	0.0	0.036	0.0	0.012	0.004
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS0F81DBF22	0.0	0.036	0.0	0.012	0.004
EPHA7	Q15375	False	EPHA7_HUMAN		CPI-SS028688B7B	0.0	0.036	0.0	0.012	0.004
ANTXR1	Q9H6X2	False	ANTR1_HUMAN		CPI-SS0C56C483F	0.021	0.086	0.0	0.0	0.002
ROR2	Q01974	False	ROR2_HUMAN		CPI-SS0E7CBFD03	0.272	0.196	0.011	0.264	0.033
FZD3	Q9NPG1	False	FZD3_HUMAN		CPI-SS002673EFE	0.21	0.274	0.04	0.04	0.02
FZD3	Q9NPG1	False	FZD3_HUMAN		CPI-SS0F26BB901	0.21	0.274	0.04	0.04	0.02
ROR1	Q01973	False	ROR1_HUMAN		CPI-SS073F3FAD5	0.0	0.078	0.0	0.052	0.008
FGF3	P11487	False	FGF3_HUMAN		CPI-SS023738D54	0.024	1.485	0.055	0.024	0.019
FGF5	P12034	False	FGF5_HUMAN		CPI-SS0E0BCE16F	2.921	1.052	0.049	2.914	0.13
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS039799099	0.076	0.206	0.033	0.005	0.008
FGF8	P55075	False	FGF8_HUMAN		CPI-SS0769B1FF3	2.169	2.066	0.159	1.817	0.104
FGF8	P55075	False	FGF8_HUMAN		CPI-SS07BA4A3B7	2.169	2.066	0.159	1.817	0.104
FGF8	P55075	False	FGF8_HUMAN		CPI-SS05C077A1E	2.169	2.066	0.159	1.817	0.104
FGF8	P55075	False	FGF8_HUMAN		CPI-SS0D99CC068	2.169	2.066	0.159	1.817	0.104
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS06A0B20BD	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0E63AB61E	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0EBFE1854	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS05B4EB419	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0659DBE72	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0816A4ED4	0.292	0.72	0.031	0.922	0.285
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0D1AE5C79	0.292	0.72	0.031	0.922	0.285
CD83	Q01151	False	CD83_HUMAN		CPI-SS00D9A0644	0.0	0.017	0.005	0.04	0.026
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS02E314589	0.391	0.185	0.042	0.148	0.066
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS02C29C238	0.391	0.185	0.042	0.148	0.066
